"Any","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Sexe","Edat_any_a_any","Nombre"
2020,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Dones","4 anys",124
2020,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Dones","4 anys",251
2020,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Dones","4 anys",161
2020,6,"Gràcia",28,"Vallcarca i els Penitents","Dones","4 anys",68
2020,6,"Gràcia",29,"el Coll","Dones","4 anys",20
2020,6,"Gràcia",30,"la Salut","Dones","4 anys",47
2020,6,"Gràcia",31,"la Vila de Gràcia","Dones","4 anys",202
2020,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Dones","4 anys",140
2020,7,"Horta-Guinardó",33,"el Baix Guinardó","Dones","4 anys",90
2020,7,"Horta-Guinardó",34,"Can Baró","Dones","4 anys",33
2020,7,"Horta-Guinardó",35,"el Guinardó","Dones","4 anys",155
2020,7,"Horta-Guinardó",36,"la Font d'en Fargues","Dones","4 anys",34
2020,7,"Horta-Guinardó",37,"el Carmel","Dones","4 anys",123
2020,7,"Horta-Guinardó",38,"la Teixonera","Dones","4 anys",47
2020,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Dones","4 anys",34
2020,7,"Horta-Guinardó",40,"Montbau","Dones","4 anys",10
2020,7,"Horta-Guinardó",41,"la Vall d'Hebron","Dones","4 anys",30
2020,7,"Horta-Guinardó",42,"la Clota","Dones","4 anys",5
2020,7,"Horta-Guinardó",43,"Horta","Dones","4 anys",116
2020,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Dones","4 anys",91
2020,8,"Nou Barris",45,"Porta","Dones","4 anys",116
2020,8,"Nou Barris",46,"el Turó de la Peira","Dones","4 anys",72
2020,8,"Nou Barris",47,"Can Peguera","Dones","4 anys",12
2020,8,"Nou Barris",48,"la Guineueta","Dones","4 anys",57
2020,8,"Nou Barris",49,"Canyelles","Dones","4 anys",21
2020,8,"Nou Barris",50,"les Roquetes","Dones","4 anys",100
2020,8,"Nou Barris",51,"Verdun","Dones","4 anys",61
2020,8,"Nou Barris",52,"la Prosperitat","Dones","4 anys",103
2020,8,"Nou Barris",53,"la Trinitat Nova","Dones","4 anys",27
2020,8,"Nou Barris",54,"Torre Baró","Dones","4 anys",11
2020,8,"Nou Barris",55,"Ciutat Meridiana","Dones","4 anys",68
2020,8,"Nou Barris",56,"Vallbona","Dones","4 anys",9
2020,9,"Sant Andreu",57,"la Trinitat Vella","Dones","4 anys",43
2020,9,"Sant Andreu",58,"Baró de Viver","Dones","4 anys",18
2020,9,"Sant Andreu",59,"el Bon Pastor","Dones","4 anys",59
2020,9,"Sant Andreu",60,"Sant Andreu","Dones","4 anys",234
2020,9,"Sant Andreu",61,"la Sagrera","Dones","4 anys",111
2020,9,"Sant Andreu",62,"el Congrés i els Indians","Dones","4 anys",44
2020,9,"Sant Andreu",63,"Navas","Dones","4 anys",68
